id,name,latitude,longitude,type,dongCode
360,도곡교회.인바디빌딩.건너,37.4744248965,127.0562402553,bus,103
361,래미안강남힐즈,37.4724442723,127.0953815657,bus,112
362,도곡중학교.강남세브란스병원,37.4936020408,127.0467216289,bus,118
363,강남경찰서.강남운전면허시험장,37.5095036021,127.0660087348,bus,106
364,수도공고앞,37.4871674571,127.0619599602,bus,103
365,개포4단지5단지,37.4863952729,127.0685575032,bus,103
366,개포4단지6단지,37.4868209572,127.0723122938,bus,103
367,개포4단지7단지,37.4878420538,127.0735368375,bus,103
368,개포동역,37.488967804,127.0654139271,bus,103
369,세곡푸르지오,37.4675204419,127.0937284528,bus,111
370,경남아파트,37.4889759836,127.0413200765,bus,118
371,세곡푸르지오,37.4679228091,127.0938352209,bus,111
372,구룡역,37.4860703372,127.0593762963,bus,103
373,구룡역,37.4861696665,127.058961369,bus,103
374,럭키아파트,37.4915406247,127.0410365057,bus,118
375,래미안개포루체하임아파트,37.4893482039,127.0813369363,bus,114
376,수도공고,37.4875628407,127.0623425063,bus,103
377,개포4단지6단지,37.4869760079,127.0722129312,bus,103
378,개포4단지5단지,37.486464681,127.0683416746,bus,103
379,학여울역,37.4972478422,127.0719615667,bus,106
380,학여울역,37.4966786872,127.0713978002,bus,106
381,도곡한신아파트,37.4868758329,127.0411576487,bus,118
382,현대1차아파트,37.482117469,127.0550785982,bus,103
383,영동고등학교현대아파트,37.5213549869,127.0395300499,bus,108
384,개포4단지7단지,37.4875450415,127.0729688713,bus,103
385,총회회관.휘문고입구,37.5044376369,127.065960162,bus,106
386,예림당아트홀.신한은행전산센터,37.4980860271,127.0441265479,bus,101
387,새마을운동중앙회,37.5019092536,127.0673638246,bus,106
388,총지사,37.4948581044,127.0395194722,bus,101
389,신한은행데이터센터,37.4980790086,127.0436142072,bus,101
390,포스코사거리,37.5073192617,127.0575278976,bus,105
391,우성3차아파트,37.4837132774,127.0570801003,bus,103
392,우성6차아파트,37.4769804841,127.0549930057,bus,103
393,포이초교,37.4752733312,127.0525575599,bus,103
394,국악중고교,37.4755125128,127.0507196343,bus,103
395,풍양빌딩,37.4772532862,127.0489716615,bus,103
396,코원에너지서비스,37.4980697598,127.0760972384,bus,106
397,코원에너지서비스,37.4984896319,127.076162131,bus,106
398,현대1차우성아파트,37.4818263684,127.055172236,bus,103
399,포스코사거리,37.5070845749,127.0583443873,bus,106
400,국민은행그린공원,37.478407,127.047757,bus,103
401,삼익아파트앞,37.4900562415,127.0417922422,bus,118
402,래미안포레아파트,37.4756585108,127.1072950785,bus,112
403,래미안포레아파트,37.4760978962,127.1076846516,bus,112
404,세곡2지구3.4단지,37.476668,127.110393,bus,112
405,도곡한신아파트,37.4865461779,127.0414335753,bus,118
406,강남더샵라르고오피스텔,37.4752274507,127.1048166174,bus,112
407,서울의료원후문,37.512854221,127.0670297734,bus,105
408,구룡마을,37.4771363685,127.0615010562,bus,103
409,학동역,37.5153474836,127.0298909242,bus,108
410,은곡마을.강남신동아파밀리에,37.465026,127.102457,bus,111
411,강남현대힐스테이트에코,37.4750109081,127.1049627778,bus,112
412,대왕초등학교,37.4647336817,127.1060868044,bus,111
413,수서역5번출구.이마트앞,37.4867890817,127.1026711271,bus,115
414,달터공원,37.4765501377,127.0496563833,bus,103
415,일원역,37.4842740914,127.0837487838,bus,114
416,삼성서울병원정문,37.486220916,127.0831278825,bus,114
417,국민은행,37.4783549106,127.0478168168,bus,103
418,삼성의료원,37.4880871291,127.0843625606,bus,114
419,한아름아파트.사이룩스오피스텔,37.4882883158,127.1043695699,bus,115
420,암센터후문.장례식장,37.4896761036,127.0867278996,bus,114
421,암센터정문,37.4887280795,127.0877105812,bus,114
422,신분당선.강남역4번출구,37.4947408197,127.0294354214,bus,101
423,영동2교,37.4824106082,127.0436209282,bus,118
424,강남교육청,37.5114525879,127.0474431396,bus,105
425,래미안루체하임.일원동맛의거리,37.4895038011,127.0816026028,bus,114
426,신논현역,37.5019598458,127.0259766968,bus,101
427,영희초등학교,37.4913516516,127.080747403,bus,114
428,개포동역,37.488685801,127.0653367838,bus,103
429,강남우체국,37.4933177303,127.0782615093,bus,114
430,도성초등학교앞,37.5004642646,127.0503202915,bus,101
431,일원2동주민센터.수서경찰서,37.4923887632,127.0753812691,bus,114
432,LH이-편한세상,37.4677254056,127.1018876756,bus,111
433,신논현역,37.5010162887,127.0264400922,bus,101
434,동영문화센터,37.4979146187,127.0446557472,bus,101
435,도곡2동주민센터대치중학교,37.4842517535,127.0455126584,bus,118
436,도곡2동주민센터대치중학교,37.4844032382,127.0452549325,bus,118
437,대청역,37.4932186422,127.0795608241,bus,114
438,영동2교,37.4827701733,127.0435555535,bus,118
439,강남세브란스병원,37.4941024226,127.0460354686,bus,101
440,삼성역,37.5073325885,127.0644550131,bus,106
441,매봉역입구,37.485055,127.046452,bus,118
442,역삼청소년수련관.도곡1차아이파크,37.4931043457,127.0427156329,bus,101
443,엠네트음악방송국,37.5240522735,127.0440702137,bus,104
444,삼성역,37.509754783,127.0631256245,bus,105
445,코엑스도심공항,37.5095939553,127.0594290768,bus,105
446,삼성역그랜드인터컨티넨탈,37.5084898455,127.0610138468,bus,105
447,포스코사거리,37.5066283272,127.0551984022,bus,105
448,역삼역,37.4998687965,127.0348815674,bus,101
449,역삼역,37.5003770293,127.0348444801,bus,101
450,강남역,37.4983670689,127.0301126142,bus,101
451,강남역12번출구,37.4987123716,127.0293968328,bus,101
452,영희초등학교정문,37.4917702392,127.0826658438,bus,114
453,봉은사역코엑스인터컨티넨탈,37.5135748897,127.0570691895,bus,105
454,코엑스동문,37.5122036814,127.0608830771,bus,105
455,일원지구대,37.4925024781,127.0844466897,bus,114
456,대청초교삼거리,37.4933069756,127.0862704324,bus,114
457,대청초교삼거리,37.4931669875,127.0863914747,bus,114
458,도곡동,37.4878492793,127.0492205758,bus,118
459,타워펠리스,37.4897386698,127.053238036,bus,118
460,대치동,37.493608599,127.0618634984,bus,106
461,학여울역,37.4958414376,127.0685662305,bus,106
462,개포동,37.4888592582,127.0737651349,bus,103
463,학여울역,37.4958593062,127.0672656518,bus,106
